Giới tính,Tuổi,Bạn thích gameshow nào nhất?,Điều gì khiến cho bạn thích gameshow đó?,Bạn đánh giá thế nào về gameshow này?,Bạn có muốn giới thiệu gameshow này cho người quen không?
Nam,14,Thách thức danh hài,Vì hài hước,Rất hấp dẫn,Không
Nam,15,Rap Việt,Vì nhạc hay,Hay,Có
Nữ,17,Thách thức danh hài,Vì hài hước,Hay,Không
Nữ,16,Thách thức danh hài,Vì hài hước,Cần cải thiện thêm,Không
Nữ,23,Giọng hát Việt,Vì nhạc hay,Cần cải thiện thêm,Không
Nam,17,Thách thức danh hài,Vì hài hước,Hay,Có
Nam,15,Rap Việt,Vì có nhiều idol,Rất hấp dẫn,Có
Nữ,25,Giọng hát Việt,Vì nhạc hay,Cần cải thiện thêm,Không
Nam,18,Thách thức danh hài,Vì hài hước,Hay,Không
Nam,19,Thách thức danh hài,Vì hài hước,Cần cải thiện thêm,Không
Nam,23,Thách thức danh hài,Vì hài hước,Cần cải thiện thêm,Không
Nữ,17,Thách thức danh hài,Vì hài hước,Hay,Không
Nam,16,Rap Việt,Vì nhạc hay,Hay,Không
Nữ,23,Giọng hát Việt,Vì nhạc hay,Hay,Không
Nữ,26,Giọng hát Việt,Vì nhạc hay,Cần cải thiện thêm,Không
Nữ,32,Giọng hát Việt,Vì nhạc hay,Hay,Không
Nam,12,Rap Việt,Vì nhạc hay,Cần cải thiện thêm,Không
Nam,20,Thách thức danh hài,Vì hài hước,Hay,Không
Nữ,24,Thách thức danh hài,Vì hài hước,Rất hấp dẫn,Không
Nữ,13,Rap Việt,Vì nhạc hay,Rất hấp dẫn,Có
Nữ,14,Rap Việt,Vì nhạc hay,Hay,Không
Nam,15,Rap Việt,Vì nhạc hay,Rất hấp dẫn,Có
Nam,17,Rap Việt,Vì nhạc hay,Rất hấp dẫn,Có
Nữ,21,Giọng hát Việt,Vì có nhiều idol,Hay,Có
Nữ,20,Thách thức danh hài,Vì hài hước,Hay,Không
Nam,15,Rap Việt,Vì có nhiều idol,Rất hấp dẫn,Có
Nữ,16,Rap Việt,Vì có nhiều idol,Hay,Không
Nam,17,Rap Việt,Vì nhạc hay,Rất hấp dẫn,Có
Nam,16,Rap Việt,Vì có nhiều idol,Rất hấp dẫn,Có
Nữ,28,Giọng hát Việt,Vì có nhiều idol,Hay,Có
Nữ,22,Thách thức danh hài,Vì hài hước,Cần cải thiện thêm,Không
